workout_count=[2], workout_angle=[61.55634568320597], workout_stage=['down'], total_tracks=1, speed={'track': 37.246766998578096, 'solution': 0.9334780042991042}
workout_count=[2], workout_angle=[68.9980636219961], workout_stage=['down'], total_tracks=1, speed={'track': 36.32416899927193, 'solution': 0.9618580006645061}
workout_count=[2], workout_angle=[84.65533624078223], workout_stage=['down'], total_tracks=1, speed={'track': 38.72628599856398, 'solution': 0.8771559987508226}
workout_count=[2], workout_angle=[94.48067815104076], workout_stage=['down'], total_tracks=1, speed={'track': 38.37066800042521, 'solution': 0.8953379983722698}
workout_count=[2], workout_angle=[99.91699473656615], workout_stage=['down'], total_tracks=1, speed={'track': 37.179705999733415, 'solution': 0.892617001227336}
workout_count=[2], workout_angle=[111.00140205598699], workout_stage=['down'], total_tracks=1, speed={'track': 39.07841199907125, 'solution': 0.9259880025638267}
workout_count=[2], workout_angle=[126.68973115859373], workout_stage=['down'], total_tracks=1, speed={'track': 38.943629999266705, 'solution': 0.9046870000020135}
workout_count=[2], workout_angle=[133.28807863288677], workout_stage=['down'], total_tracks=1, speed={'track': 37.58622399982414, 'solution': 0.9452579979551956}
workout_count=[2], workout_angle=[146.1379735404357], workout_stage=['up'], total_tracks=1, speed={'track': 38.3207869999751, 'solution': 0.8968779984570574}
workout_count=[2], workout_angle=[153.29742382016877], workout_stage=['up'], total_tracks=1, speed={'track': 34.31652099970961, 'solution': 0.9025069994095247}
workout_count=[2], workout_angle=[159.2755915369986], workout_stage=['up'], total_tracks=1, speed={'track': 36.248487998818746, 'solution': 0.882057000126224}
workout_count=[2], workout_angle=[169.9606161820777], workout_stage=['up'], total_tracks=1, speed={'track': 36.688526000943966, 'solution': 0.8879279994289391}
workout_count=[2], workout_angle=[171.8872031139889], workout_stage=['up'], total_tracks=1, speed={'track': 35.521824000170454, 'solution': 0.8879779998096637}
workout_count=[2], workout_angle=[172.8628632625226], workout_stage=['up'], total_tracks=1, speed={'track': 35.12880600101198, 'solution': 0.8803779965091962}
workout_count=[2], workout_angle=[177.34967487869082], workout_stage=['up'], total_tracks=1, speed={'track': 34.96019199883449, 'solution': 0.8650669988128357}
workout_count=[2], workout_angle=[175.62386880153903], workout_stage=['up'], total_tracks=1, speed={'track': 36.411041000974365, 'solution': 0.8730669978831429}
workout_count=[2], workout_angle=[175.49532298645838], workout_stage=['up'], total_tracks=1, speed={'track': 35.49612300048466, 'solution': 0.8594569990236778}
workout_count=[2], workout_angle=[176.12283011436412], workout_stage=['up'], total_tracks=1, speed={'track': 35.92777200174169, 'solution': 0.8672359981574118}
workout_count=[2], workout_angle=[176.4682588805156], workout_stage=['up'], total_tracks=1, speed={'track': 35.764988999289926, 'solution': 0.8503960016241763}
workout_count=[2], workout_angle=[176.5634663453715], workout_stage=['up'], total_tracks=1, speed={'track': 35.93661100239842, 'solution': 0.9424089948879555}
workout_count=[2], workout_angle=[176.86354135608278], workout_stage=['up'], total_tracks=1, speed={'track': 35.836008999467595, 'solution': 0.8688570014783181}
workout_count=[2], workout_angle=[177.36787464588724], workout_stage=['up'], total_tracks=1, speed={'track': 36.21326800202951, 'solution': 0.8574959974794183}
workout_count=[2], workout_angle=[177.2866990693012], workout_stage=['up'], total_tracks=1, speed={'track': 37.15516500233207, 'solution': 0.853086996357888}
workout_count=[2], workout_angle=[176.1754737847727], workout_stage=['up'], total_tracks=1, speed={'track': 38.691724999807775, 'solution': 0.8949670009315014}
workout_count=[2], workout_angle=[171.25215497860222], workout_stage=['up'], total_tracks=1, speed={'track': 36.774047002836596, 'solution': 0.8650869967823382}
workout_count=[2], workout_angle=[166.99524288923297], workout_stage=['up'], total_tracks=1, speed={'track': 35.775519001617795, 'solution': 0.8735569972486701}
workout_count=[2], workout_angle=[158.60353103897182], workout_stage=['up'], total_tracks=1, speed={'track': 35.70027699970524, 'solution': 0.8772170003794599}
workout_count=[2], workout_angle=[152.04127248601174], workout_stage=['up'], total_tracks=1, speed={'track': 35.57493499829434, 'solution': 0.8945670051616617}
workout_count=[2], workout_angle=[146.28315704362774], workout_stage=['up'], total_tracks=1, speed={'track': 35.816909999994095, 'solution': 0.8839969996188302}
workout_count=[2], workout_angle=[138.182749135188], workout_stage=['up'], total_tracks=1, speed={'track': 36.12353499920573, 'solution': 0.8853869985614438}
workout_count=[2], workout_angle=[130.05110595912947], workout_stage=['up'], total_tracks=1, speed={'track': 38.062762996560195, 'solution': 0.9318280062871054}
workout_count=[2], workout_angle=[124.07414977716529], workout_stage=['up'], total_tracks=1, speed={'track': 35.426311998890014, 'solution': 0.8815569999569561}
workout_count=[2], workout_angle=[113.92690901894976], workout_stage=['up'], total_tracks=1, speed={'track': 35.56149400174036, 'solution': 0.8650059971841983}
workout_count=[2], workout_angle=[105.47929734338652], workout_stage=['up'], total_tracks=1, speed={'track': 35.60292600013781, 'solution': 0.9095669993257616}
workout_count=[2], workout_angle=[99.79640303916584], workout_stage=['up'], total_tracks=1, speed={'track': 35.204007999709575, 'solution': 0.8811469997453969}
workout_count=[3], workout_angle=[89.81174694464411], workout_stage=['down'], total_tracks=1, speed={'track': 35.81343900077627, 'solution': 0.8864069968694821}
workout_count=[3], workout_angle=[79.41362387655394], workout_stage=['down'], total_tracks=1, speed={'track': 36.1017860013817, 'solution': 0.9087969992833678}
workout_count=[3], workout_angle=[71.82303477885868], workout_stage=['down'], total_tracks=1, speed={'track': 34.87058199971216, 'solution': 0.8762159995967522}
workout_count=[3], workout_angle=[63.688282037403255], workout_stage=['down'], total_tracks=1, speed={'track': 35.15257599792676, 'solution': 0.8897380030248314}
workout_count=[3], workout_angle=[56.191567150653654], workout_stage=['down'], total_tracks=1, speed={'track': 34.92409300088184, 'solution': 0.8813069980533328}
workout_count=[3], workout_angle=[54.74826578501822], workout_stage=['down'], total_tracks=1, speed={'track': 34.99750399714685, 'solution': 0.8722570019017439}
workout_count=[3], workout_angle=[54.35394411207734], workout_stage=['down'], total_tracks=1, speed={'track': 35.617146000731736, 'solution': 0.9078659968508873}
workout_count=[3], workout_angle=[54.75442156665563], workout_stage=['down'], total_tracks=1, speed={'track': 34.39361200071289, 'solution': 0.8711269983905368}
workout_count=[3], workout_angle=[54.3280245762876], workout_stage=['down'], total_tracks=1, speed={'track': 34.45197399923927, 'solution': 0.8755970011407044}
workout_count=[3], workout_angle=[53.70087468439138], workout_stage=['down'], total_tracks=1, speed={'track': 34.49657500095782, 'solution': 0.8706669977982529}
workout_count=[3], workout_angle=[53.88650367364946], workout_stage=['down'], total_tracks=1, speed={'track': 34.60548500152072, 'solution': 0.893267999344971}
workout_count=[3], workout_angle=[53.62208525684056], workout_stage=['down'], total_tracks=1, speed={'track': 33.725809000316076, 'solution': 0.9005569991131779}
workout_count=[3], workout_angle=[55.893480186637056], workout_stage=['down'], total_tracks=1, speed={'track': 34.997554001165554, 'solution': 0.8791059990471695}
workout_count=[3], workout_angle=[64.21787791896163], workout_stage=['down'], total_tracks=1, speed={'track': 35.53056400050991, 'solution': 0.8682370025780983}
workout_count=[3], workout_angle=[69.55260554815418], workout_stage=['down'], total_tracks=1, speed={'track': 35.354389998246916, 'solution': 0.8838870016916189}
workout_count=[3], workout_angle=[81.71384310096356], workout_stage=['down'], total_tracks=1, speed={'track': 36.62884399818722, 'solution': 0.8662569998705294}
workout_count=[3], workout_angle=[94.08072098969328], workout_stage=['down'], total_tracks=1, speed={'track': 36.880181000015, 'solution': 0.8807860031083692}
workout_count=[3], workout_angle=[97.06183175935458], workout_stage=['down'], total_tracks=1, speed={'track': 36.368929999298416, 'solution': 0.9116580004047137}
workout_count=[3], workout_angle=[108.58779824143066], workout_stage=['down'], total_tracks=1, speed={'track': 37.20831600003294, 'solution': 0.8913370002119336}
workout_count=[3], workout_angle=[118.1343729311929], workout_stage=['down'], total_tracks=1, speed={'track': 36.649315003160154, 'solution': 0.8828779973555356}
workout_count=[3], workout_angle=[121.62944241098171], workout_stage=['down'], total_tracks=1, speed={'track': 35.133956000208855, 'solution': 0.9111879990086891}
workout_count=[3], workout_angle=[130.36378276376132], workout_stage=['down'], total_tracks=1, speed={'track': 37.130704997252906, 'solution': 0.8925660004024394}
workout_count=[3], workout_angle=[134.440653549192], workout_stage=['down'], total_tracks=1, speed={'track': 36.37078000247129, 'solution': 0.8879779961716849}
workout_count=[3], workout_angle=[140.43512097057558], workout_stage=['down'], total_tracks=1, speed={'track': 36.34565000174916, 'solution': 0.8673169977555517}
workout_count=[3], workout_angle=[150.02551361989867], workout_stage=['up'], total_tracks=1, speed={'track': 36.33836900189635, 'solution': 0.886097001057351}
workout_count=[3], workout_angle=[163.28084033566276], workout_stage=['up'], total_tracks=1, speed={'track': 35.59707599924877, 'solution': 0.9202080000250135}
workout_count=[3], workout_angle=[165.6519633741602], workout_stage=['up'], total_tracks=1, speed={'track': 33.98887499861303, 'solution': 0.8810570034256671}
workout_count=[3], workout_angle=[169.04922988814047], workout_stage=['up'], total_tracks=1, speed={'track': 35.6740470015211, 'solution': 0.9257769997930154}
workout_count=[3], workout_angle=[174.21353507658543], workout_stage=['up'], total_tracks=1, speed={'track': 35.310390001541236, 'solution': 0.8682769985171035}
workout_count=[3], workout_angle=[171.28203557389608], workout_stage=['up'], total_tracks=1, speed={'track': 35.445703000732465, 'solution': 0.8690270005899947}
workout_count=[3], workout_angle=[175.85168348696234], workout_stage=['up'], total_tracks=1, speed={'track': 35.421122000116156, 'solution': 0.8751460009079892}
workout_count=[3], workout_angle=[176.06561689423313], workout_stage=['up'], total_tracks=1, speed={'track': 35.167747002560645, 'solution': 0.8509069957653992}
workout_count=[3], workout_angle=[176.25053976267307], workout_stage=['up'], total_tracks=1, speed={'track': 34.54810599941993, 'solution': 0.8732360001886263}
workout_count=[3], workout_angle=[176.3525017620967], workout_stage=['up'], total_tracks=1, speed={'track': 35.01619400049094, 'solution': 0.871306998305954}
workout_count=[3], workout_angle=[176.35109278591398], workout_stage=['up'], total_tracks=1, speed={'track': 35.349699999642326, 'solution': 0.8722470010980032}
workout_count=[3], workout_angle=[176.34578019686302], workout_stage=['up'], total_tracks=1, speed={'track': 34.87104099986027, 'solution': 0.8680169994477183}
workout_count=[3], workout_angle=[176.6719259743919], workout_stage=['up'], total_tracks=1, speed={'track': 35.27677899910486, 'solution': 0.887697002326604}
workout_count=[3], workout_angle=[176.8170066524849], workout_stage=['up'], total_tracks=1, speed={'track': 36.95203100141953, 'solution': 0.8622269997431431}
workout_count=[3], workout_angle=[176.8454177122319], workout_stage=['up'], total_tracks=1, speed={'track': 36.24777799996082, 'solution': 0.8874969971657265}
workout_count=[3], workout_angle=[171.08084479653755], workout_stage=['up'], total_tracks=1, speed={'track': 37.35642899846425, 'solution': 0.8658170008857269}
workout_count=[3], workout_angle=[163.50045996192844], workout_stage=['up'], total_tracks=1, speed={'track': 39.44098800275242, 'solution': 0.8721269987290725}
workout_count=[3], workout_angle=[157.88336533508553], workout_stage=['up'], total_tracks=1, speed={'track': 34.385202001431026, 'solution': 0.8825769982649945}
workout_count=[3], workout_angle=[147.28525294486198], workout_stage=['up'], total_tracks=1, speed={'track': 36.22249699765234, 'solution': 0.8646669994050171}
workout_count=[3], workout_angle=[141.08392322702844], workout_stage=['up'], total_tracks=1, speed={'track': 39.46443000313593, 'solution': 0.8745759987505153}
workout_count=[3], workout_angle=[136.40614816781394], workout_stage=['up'], total_tracks=1, speed={'track': 36.41911100203288, 'solution': 0.8777769980952144}
workout_count=[3], workout_angle=[126.02876904561866], workout_stage=['up'], total_tracks=1, speed={'track': 36.44437199909589, 'solution': 0.8821769988571759}
workout_count=[3], workout_angle=[115.67501655451903], workout_stage=['up'], total_tracks=1, speed={'track': 36.4505020006618, 'solution': 0.8845669981383253}
workout_count=[3], workout_angle=[110.93440359255966], workout_stage=['up'], total_tracks=1, speed={'track': 36.2428180014831, 'solution': 0.865475998580223}
workout_count=[3], workout_angle=[97.00595215447206], workout_stage=['up'], total_tracks=1, speed={'track': 37.12869499941007, 'solution': 0.8781770011410117}
workout_count=[4], workout_angle=[87.63998915154654], workout_stage=['down'], total_tracks=1, speed={'track': 36.59021500061499, 'solution': 0.8877259970176965}
workout_count=[4], workout_angle=[81.8515917737359], workout_stage=['down'], total_tracks=1, speed={'track': 36.408330997801386, 'solution': 0.8788970008026809}
workout_count=[4], workout_angle=[70.60182307607003], workout_stage=['down'], total_tracks=1, speed={'track': 37.409401000331854, 'solution': 0.8691549992363434}
workout_count=[4], workout_angle=[61.61593137314233], workout_stage=['down'], total_tracks=1, speed={'track': 36.4314309990732, 'solution': 0.8734570037631784}
